Rank,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,SOS,,OppO,,OppD,,AdjEM,,,,,
1,1246,SEC,32-4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,,,,
2,1242,B12,30-8,28.62,115,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.7,2,96.8,9,6.08,35,,,,
3,1338,BE,28-5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.07,56,105.5,66,98.4,49,-8.24,310,,,,
4,1112,P10,28-4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,53,8.19,26,,,,
5,1228,B10,25-7,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,59,98.5,54,-4.18,257,,,,
6,1181,ACC,26-7,23.75,115,13,91.3,15,70.7,40,-0.03,246,8.85,27,107.1,17,98.3,43,0.64,138,,,,
7,1400,B12,26-7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.8,7,2.16,104,,,,
8,1393,BE,30-5,23.28,114.4,17,91.1,14,71,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,,,,
9,1328,B12,27-7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,31,97.7,26,-2.32,214,,,,
10,1257,CUSA,25-7,22.75,115.8,9,93,25,72.5,12,-0.029,241,6.82,61,105.3,69,98.4,50,5.99,39,,,,
11,1196,SEC,25-8,22.14,116.5,6,94.4,36,65,256,0.008,140,8.3,36,106,55,97.7,24,-0.89,174,,,,
12,1458,B10,24-8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,51,99.6,79,-1.01,179,,,,
13,1268,ACC,21-10,22,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,35,98.4,47,-5.28,282,,,,
14,1280,SEC,21-10,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,28,106.9,24,98,36,-2.62,218,,,,
15,1266,CUSA,27-6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.94,42,106,54,98,35,-1.46,188,,,,
